Gene,Slope,Pvalue,R2,N,Class
PARVB,NA,NA,NA,29,Unknown
SNU13,0.01580540751233231,0.9376271145967479,1.7745749135625154e-4,37,NotSignificant
PANX2,NA,NA,NA,18,Unknown
TCF20,0.1256949760588779,0.41266153941585415,0.01926230775827436,37,NotSignificant
SELENOO,0.07670131633373665,0.6299647996675481,0.006704445926445553,37,NotSignificant
MRTFA,0.40509507598308936,0.04989905847492013,0.10840423727579472,36,Positive
SEPTIN3,0.32867217281407785,0.11142934952904825,0.07970027269968097,33,NotSignificant
ATXN10,-0.14593054823129692,0.4479393180697242,0.016551032474376007,37,NotSignificant
WNT7B,NA,NA,NA,1,Unknown
APOBEC3A,0.06900148231030677,0.6724491102892336,0.005484237408713763,35,NotSignificant
FAM83F,NA,NA,NA,19,Unknown
SHANK3,NA,NA,NA,9,Unknown
PRR5,NA,NA,NA,18,Unknown
TTLL12,0.06802196818098105,0.7316707834174045,0.00340203285743222,37,NotSignificant
KLHDC7B,NA,NA,NA,7,Unknown
GRAP2,NA,NA,NA,11,Unknown
APOBEC3C,-0.04521742650546287,0.8336282570354148,0.0014453545359756424,33,NotSignificant
NDUFA6,0.03492898812576143,0.860424763425206,8.956605520972154e-4,37,NotSignificant
MLC1,NA,NA,NA,5,Unknown
MAPK11,NA,NA,NA,10,Unknown
TNFRSF13C,NA,NA,NA,7,Unknown
APOBEC3F,-0.3467260849521666,0.06463235857528207,0.11672077392674517,30,NotSignificant
PHF5A,0.10492039009952485,0.6618596131855377,0.005528175124406783,37,NotSignificant
SLC25A17,0.3333996557236274,0.0671301194800167,0.09519082882528754,36,NotSignificant
EP300,0.16392897869964893,0.3138477613150005,0.028971215804491524,37,NotSignificant
RPS19BP1,-0.1078484880068593,0.5898229879380287,0.008387448639425102,37,NotSignificant
RBX1,-0.07759537309745618,0.6334442058496336,0.007678299989520652,32,NotSignificant
MGAT3,NA,NA,NA,14,Unknown
CENPM,NA,NA,NA,29,Unknown
SMC1B,0.36072896505336727,0.08629314933452344,0.09805672021252762,31,NotSignificant
PHF21B,NA,NA,NA,1,Unknown
SREBF2,-0.2632465165140207,0.20676531211371793,0.050907780301563677,33,NotSignificant
GTSE1,0.14461188342204467,0.5332979461095697,0.011516891067008098,36,NotSignificant
SCO2,0.0030270687454429573,0.9840221759688781,1.1623742810592485e-5,37,NotSignificant
TOB2,NA,NA,NA,12,Unknown
DESI1,0.021997659985613666,0.915123941111502,3.2915242859549935e-4,37,NotSignificant
TRABD,-0.17823983129490972,0.2930906390860517,0.03152741857336958,37,NotSignificant
ZBED4,NA,NA,NA,23,Unknown
SAMM50,0.010491022253725312,0.947550562633815,1.2541106033907436e-4,37,NotSignificant
BRD1,0.46491311830516074,0.018568851987311924,0.14835043972063577,37,Positive
TAB1,0.013289527694635907,0.9536642606017794,9.784863035309607e-5,37,NotSignificant
KIAA0930,NA,NA,NA,29,Unknown
CBX7,NA,NA,NA,9,Unknown
NUP50,0.1773283875222527,0.4050217742088901,0.019894415106452814,37,NotSignificant
LMF2,-0.2783839899461362,0.13786261831102742,0.06181158966550012,37,NotSignificant
MAPK12,NA,NA,NA,24,Unknown
FBLN1,0.38622979293180004,0.07491616230495451,0.08782069879679559,37,NotSignificant
HDAC10,NA,NA,NA,16,Unknown
TUBGCP6,NA,NA,NA,28,Unknown
TNRC6B,0.37622219856932393,0.024992953891572117,0.1354906643673402,37,Positive
PLXNB2,-0.077483368837756,0.6728344682030891,0.005154339747195508,37,NotSignificant
PMM1,0.022420943197581852,0.9024393345835994,4.353945286761708e-4,37,NotSignificant
CHKB,0.09931203285275128,0.7195382982205889,0.004217881505145694,33,NotSignificant
XPNPEP3,0.04872919258808514,0.7664034837609863,0.002554659045158582,37,NotSignificant
RRP7A,-0.3958277193146233,0.022078239419435586,0.14086478560813412,37,Negative
SMDT1,NA,NA,NA,25,Unknown
CERK,NA,NA,NA,9,Unknown
FAM118A,NA,NA,NA,29,Unknown
APOBEC3D,-0.06743870386477807,0.7093908467304337,0.0043988003023584105,34,NotSignificant
ACO2,0.024073763573974772,0.8754591688772235,7.116622021629934e-4,37,NotSignificant
POLR3H,0.0069361208551096684,0.9717630821761767,3.6313092882881646e-5,37,NotSignificant
TBC1D22A,0.1747204533737145,0.39257329949896347,0.020961568858503508,37,NotSignificant
NCAPH2,0.35273422118199027,0.031815918287274154,0.1250083528185929,37,Positive
ARHGAP8,NA,NA,NA,22,Unknown
SGSM3,NA,NA,NA,27,Unknown
POLDIP3,-0.09440724014167999,0.5980975731825143,0.008021075154015315,37,NotSignificant
NAGA,-0.16098969294547405,0.43866450266479506,0.017232341512477805,37,NotSignificant
TEF,NA,NA,NA,17,Unknown
ARFGAP3,-0.21148295125437402,0.30676388263645227,0.029819114331021194,37,NotSignificant
ATF4,NA,NA,NA,15,Unknown
APOBEC3G,-0.20282732911895476,0.391912995838146,0.026297060797703706,30,NotSignificant
TTC38,0.32195866580068216,0.09057743116260625,0.08433545858758504,35,NotSignificant
ST13,0.3386072460068322,0.13392738930867798,0.06302671787539396,37,NotSignificant
RABL2B,0.2704238413372538,0.16900797953325247,0.05827529996785795,34,NotSignificant
CDPF1,NA,NA,NA,22,Unknown
RANGAP1,-8.59466007107699e-5,0.9996804078550817,4.64994066821786e-9,37,NotSignificant
MIEF1,0.14319127926637423,0.3390145141549311,0.028599088125717206,34,NotSignificant
