SegmentID,Gene
seg3,DDX17
seg3,LGALS2
seg3,TPTEP2
seg3,PDXP
seg3,NPTXR
seg3,CACNG2-DT
seg3,TOMM22-DT
seg3,NCF4-AS1
seg3,PDXP-DT
seg3,IL2RB-AS1
seg3,CSF2RBP1
seg3,TMEM184B-AS1
seg3,SOX10
seg3,IL2RB
seg3,TST
seg3,CYTH4
seg3,RAC2
seg3,C1QTNF6
seg3,LGALS1
seg3,CARD10
seg3,SLC16A8
seg3,NOL12
seg3,GALR3
seg3,CSF2RB
seg3,PVALB
seg3,CDC42EP1
seg3,TOMM22
seg3,IFT27
seg3,MICALL1
seg3,POLR2F
seg3,JOSD1
seg3,MPST
seg3,SH3BP1
seg3,ELFN2
seg3,KDELR3
seg3,GCAT
seg3,KCNJ4
seg3,BAIAP2L2
seg3,KCTD17
seg3,PICK1
seg3,CBX6
seg3,CBY1
seg3,PLA2G6
seg3,C22orf23
seg3,MAFF
seg3,TMEM184B
seg3,SUN2
seg3,TMPRSS6
seg3,ANKRD54
seg3,GGA1
seg3,DMC1
seg3,SSTR3
seg3,GTPBP1
seg3,DNAL4
seg3,CSNK1E
seg3,"MFNG""ACH-000496"
seg4,NCF4
seg4,ACO2P1
seg4,CACNA1I
seg4,ENTHD1
seg4,MRPS18CP6
seg4,COX5BP7
seg4,TRIOBP
seg4,MTFR2P2
seg4,GTSE1-DT
seg4,RTL6
seg4,RPL35AP36
seg4,PKDREJ
seg4,FUNDC2P4
seg4,SKP1P4
seg4,SHISAL1
seg4,SCUBE1-AS1
seg4,SNORD83A
seg4,MIR6821
seg4,SNORD83B
seg4,SNORD43
seg4,MIR4535
seg4,MIR3201
seg4,RN7SKP214
seg4,RPL39P41
seg4,RPL7P52
seg4,COX6B1P3
seg4,RPL4P6
seg4,APOBEC3B
seg4,ACR
seg4,SNRPA1P2
seg4,FAM136EP
seg4,CELSR1
seg4,PARVB
seg4,RNU6-495P
seg4,SNU13
seg4,RNU6-476P
seg4,HMGN2P10
seg4,RNU6ATAC22P
seg4,PANX2
seg4,MIR33A
seg4,MIR378I
seg4,SNORD13P1
seg4,RNU7-167P
seg4,MIR3909
seg4,MIR6069
seg4,HMOX1
seg4,CACNG2
seg4,APOBEC3H
seg4,CIMIP4
seg4,RNU6-900P
seg4,MIR6820
seg4,MIR4534
seg4,RPS29P31
seg4,PRDX3P1
seg4,MIR658
seg4,MIR659
seg4,EIF3L
seg4,TCF20
seg4,MTCO1P20
seg4,MTCO2P20
seg4,MTATP6P20
seg4,MTCO3P20
seg4,MTCYBP34
seg4,MTND1P10
seg4,SYCE3
seg4,CHKB-CPT1B
seg4,H1-0
seg4,FAM227A
seg4,SHISA8
seg4,HMGN2P9
seg4,TRMT112P8
seg4,MRPS16P3
seg4,APOL5
seg4,NDUFA9P1
seg4,MIR6819
seg4,RPS15AP38
seg4,SELENOO
seg4,ADM2
seg4,MIRLET7A3
seg4,MIR4763
seg4,MIRLET7B
seg4,RN7SKP80
seg4,RNU6-513P
seg4,RPL5P34
seg4,ADAMTS7P5
seg4,COA1P1
seg4,IL17REL
seg4,RN7SKP210
seg4,UQCRFS1P1
seg4,TMA7B
seg4,RNU6-375P
seg4,MIR6889
seg4,RN7SL704P
seg4,MCHR1
seg4,RN7SL385P
seg4,TPTEP2-CSNK1E
seg4,DDX17
seg4,LGALS2
seg4,TTLL8
seg4,MRTFA
seg4,RPS9P2
seg4,ACTBP15
seg4,MIR1281
seg4,TPTEP2
seg4,RRP7BP
seg4,MIR1249
seg4,RIBC2
seg4,RNU6-1161P
seg4,MIR4762
seg4,PDXP
seg4,SEPTIN3
seg4,ATXN10
seg4,TRNT1P2
seg4,WNT7B
seg4,APOBEC3A
seg4,MOV10L1
seg4,OLA1P1
seg4,CYP2D7
seg4,SLC25A5P1
seg4,LINC01399
seg4,C22orf46P
seg4,SERHL
seg4,SELENOO-AS1
seg4,FAM83F
seg4,SGSM3-AS1
seg4,SHANK3
seg4,RNU6-409P
seg4,KRT18P23
seg4,ANP32BP2
seg4,PRR5
seg4,PRR5-ARHGAP8
seg4,RPL6P28
seg4,RFKP4
seg4,JTBP1
seg4,MIR4766
seg4,DNAJB7
seg4,RNU6-379P
seg4,L3MBTL2-AS1
seg4,RPS25P10
seg4,TTLL12
seg4,SCUBE1-AS2
seg4,SREBF2-AS1
seg4,RPL35P8
seg4,MIR3667
seg4,APOBEC3B-AS1
seg4,LINC00899
seg4,PRR34
seg4,MIR3619
seg4,NPTXR
seg4,MRTFA-AS1
seg4,CACNG2-DT
seg4,TTLL1-AS1
seg4,LINC01656
seg4,TOMM22-DT
seg4,LINC00207
seg4,MYH9-DT
seg4,OGFRP1
seg4,EFCAB6-DT
seg4,LINC01644
seg4,LINC01310
seg4,LINC01589
seg4,MIRLET7BHG
seg4,LINC01639
seg4,LINC02939
seg4,LINC02885
seg4,LINC01643
seg4,TRABD-AS1
seg4,NCF4-AS1
seg4,EPIC1
seg4,LINC00898
seg4,LINC01315
seg4,LINC02925
seg4,NUP50-DT
seg4,NHIP
seg4,LINC00229
seg4,EFCAB6-AS1
seg4,PDXP-DT
seg4,TNRC6B-DT
seg4,MIR3667HG
seg4,IL2RB-AS1
seg4,RN7SKP252
